State,Democrat_Per2,Republican_Per1,Other_Per,Electoral Votes
Alabama,0.346,0.629,0.026,9
Alaska,0.377,0.529,0.094,3
Arizona,0.454,0.495,0.051,11
Arkansas,0.338,0.604,0.058,6
California,0.616,0.331,0.054,55
Colorado,0.473,0.444,0.084,9
Connecticut,0.545,0.412,0.044,7
Delaware,0.534,0.419,0.047,3
Florida,0.478,0.491,0.031,29
Georgia,0.456,0.513,0.031,16
Hawaii,0.622,0.300,0.077,4
Idaho,0.276,0.592,0.133,4
Illinois,0.554,0.394,0.052,20
Indiana,0.379,0.572,0.049,11
Iowa,0.422,0.518,0.060,6
Kansas,0.362,0.572,0.067,6
Kentucky,0.327,0.625,0.048,8
Louisiana,0.384,0.581,0.035,8
Maine,0.479,0.452,0.070,4
Maryland,0.605,0.353,0.042,10
Massachusetts,0.608,0.335,0.057,11
Michigan,0.473,0.476,0.051,16
Minnesota,0.469,0.454,0.078,10
Mississippi,0.397,0.583,0.019,6
Missouri,0.380,0.571,0.048,10
Montana,0.360,0.565,0.075,3
Nebraska,0.340,0.603,0.057,5
Nevada,0.479,0.455,0.066,6
New Hampshire,0.476,0.473,0.051,4
New Jersey,0.550,0.418,0.032,14
New Mexico,0.483,0.400,0.117,5
New York,0.588,0.375,0.037,29
North Carolina,0.467,0.505,0.028,15
North Dakota,0.278,0.641,0.081,3
Ohio,0.435,0.521,0.044,18
Oklahoma,0.289,0.653,0.057,7
Oregon,0.517,0.411,0.073,7
Pennsylvania,0.476,0.488,0.036,20
Rhode Island,0.554,0.398,0.048,4
South Carolina,0.408,0.549,0.044,9
South Dakota,0.317,0.615,0.067,3
Tennessee,0.349,0.611,0.040,11
Texas,0.434,0.526,0.040,38
Utah,0.278,0.466,0.256,6
Vermont,0.611,0.326,0.062,3
Virginia,0.499,0.450,0.051,13
Washington,0.551,0.377,0.072,12
Washington DC,0.928,0.041,0.030,3
West Virginia,0.265,0.687,0.049,5
Wisconsin,0.469,0.479,0.052,10
Wyoming,0.225,0.701,0.075,3
